"Params","coefs","2.5 %","97.5 %"
"ar.1","0.652","0.347","1.223"
"ar.log(pop)","1.17","1.087","1.26"
"ar.HDI_cat","1.021","0.882","1.181"
"ar.LL","0.901","0.705","1.152"
"ar.sindex_lag","1.087","1.018","1.161"
"ar.testing_lag","0.894","0.789","1.014"
"ar.rain_mean_lag","0.961","0.841","1.099"
"ar.temp_mean_lag","1.027","0.925","1.14"
"ar.sh_mean_lag","0.844","0.739","0.964"
"ne.1","0.049","0.031","0.075"
"ne.log(pop)","1.327","1.243","1.417"
"ne.HDI_cat","1.127","1.007","1.262"
"ne.LL","0.48","0.406","0.568"
"ne.sindex_lag","1.118","1.073","1.165"
"ne.testing_lag","3.026","2.753","3.325"
"end.1","158.897","129.412","195.098"
"neweights.d","0.61","0.404","0.817"
"overdisp","2.638","2.537","2.74"
"","","",""
"AIC","50026.43","",""
"","","",""
"logs","rps","dss","ses"
"5.016","102.462","17.641","44218.788"
