"Params","coefs","2.5 %","97.5 %"
"ar.log(pop)","1.209","1.015","1.439"
"ar.HDI_cat","1.015","0.731","1.409"
"ar.LL","0.649","0.388","1.085"
"ar.sindex_lag","1.033","0.962","1.109"
"ar.testing_lag","0.923","0.752","1.133"
"ar.rain_mean_lag","0.98","0.851","1.129"
"ar.temp_mean_lag","1.033","0.895","1.192"
"ar.sh_mean_lag","0.826","0.693","0.984"
"ar.ri(iid)","0.825","0.289","2.355"
"ne.log(pop)","1.573","1.035","2.39"
"ne.HDI_cat","1.237","0.593","2.577"
"ne.LL","0.47","0.163","1.36"
"ne.sindex_lag","1.207","1.144","1.273"
"ne.testing_lag","1.256","1.022","1.545"
"ne.ri(iid)","0.197","0.026","1.524"
"end.1","64.06","51.657","79.441"
"neweights.d","1.887","1.624","2.149"
"overdisp","2.053","1.97","2.137"
"","","",""
"AIC",NA,"",""
"","","",""
"logs","rps","dss","ses"
"5.148","93.281","28.533","75388.699"
